province,year,unemployment_rate,absorption_rate,employed,labour_force,working_age_population,constant_price_growth_pct,constant_price_rand,current_price_pct,current_price_rand,gdp_per_employed_person
KwaZulu-Natal,2023,30.2,36.1,2721.634939680008,3899.1562564938786,7542.305826643295,1.1547350009992963,767339.9339271898,16.052465701764625,1129720.275419168,281940.800634125
KwaZulu-Natal,2024,30.2,37.475,2866.406940419155,4107.2573094699,7644.949077801648,0.4447831714764927,770752.9328213168,16.10487078653884,1184102.4889714424,268891.66431777115
Limpopo,2013,18.0,32.75,1127.7319617247726,1374.9729333988037,3441.947452102559,,310377.41613308,7.280509972099856,281655.9900285179,275222.6829311315
Limpopo,2014,16.525,34.15,1197.9188165648154,1434.9581510253456,3504.836301944654,1.0775448927094367,313721.709973656,7.2336700228233735,299030.514246121,261888.95744478988
Limpopo,2015,19.4,36.2,1291.336754424427,1602.1424658159522,3566.0069220271516,1.9400249921129653,319807.998776819,7.234177108950407,319807.9643100224,247656.5448021832
Limpopo,2016,20.025,37.5,1360.4267500594142,1700.937561544492,3626.5336132094462,0.13338247861824915,320234.736545716,7.394007135330602,351921.542333982,235392.8548756707
Limpopo,2017,20.275000000000002,38.125,1404.1827642770993,1760.8789281271454,3684.3147630954077,1.4232278515257324,324792.493375393,7.312062712849737,371320.43196550163,231303.575031846
Limpopo,2018,18.65,39.0,1457.7542038867412,1792.5788779046275,3736.9446267986054,1.110706519388427,328399.5,7.387273734074829,396193.5576879645,225277.69024737086
Limpopo,2019,20.825,37.575,1423.06044792729,1798.0714875303402,3786.2787514019233,0.056330512146307576,328584.556054735,7.442469954837972,418654.30810099014,230899.92876502444
Limpopo,2020,24.775,33.125,1271.143926939036,1692.5801470205524,3837.4517330483877,-6.431329309170164,307452.048968136,7.593381812618242,422401.99018343,241870.36766835093
Limpopo,2021,31.549999999999997,31.099999999999998,1208.6146940784752,1765.2789443553277,3883.97464852479,5.460824597035763,324241.247362627,7.902308611204082,490483.8149741871,268275.11609053303
Limpopo,2022,33.675,33.724999999999994,1327.5093678747608,2003.6209354381213,3937.5901208153878,1.1339207127411655,327917.815798938,7.874776090491887,524978.3247290496,247017.32713488032
Limpopo,2023,31.575000000000003,36.95,1473.4997903826118,2151.9832066466042,3990.8093062612006,0.7255929718475995,330297.234786607,7.702203727852264,542056.0229452647,224158.31813646975
Limpopo,2024,32.15,37.875,1530.8422090813297,2257.4709351782203,4042.5285063294823,0.9030739328945936,333280.04283442197,7.761577296961318,570666.0498858497,217710.251819112
Mpumalanga,2013,27.95,42.4,1123.4430707067993,1559.3966594091414,2649.0091278908617,,321770.46845035686,7.578458242663799,293182.506089146,286414.573947142
Mpumalanga,2014,28.95,41.875,1131.842306263302,1593.3084545053503,2702.8771912294146,1.9652498186687684,328094.0619981071,7.5120233332283295,310537.5897550776,289876.1251302637
Mpumalanga,2015,26.875,42.725,1177.418073583212,1610.607028075251,2756.133984439989,0.4371288317150057,329528.495738246,7.454054153152041,329528.2723486006,279873.8214841554
Mpumalanga,2016,30.0,41.5,1165.1826310888184,1664.5840345227084,2808.6911062631857,0.6350665805513245,331620.979563913,7.562250091999597,359929.445569324,284608.5847109014
Mpumalanga,2017,30.849999999999998,42.625,1218.5839055003357,1762.4817161986095,2859.158076221401,1.295952695081759,335918.990586028,7.613038271803939,386604.54247586906,275663.40657363576
Mpumalanga,2018,32.525,42.025,1221.3502600473123,1810.212460475771,2906.8151145857714,1.184178177583739,339896.5,7.679540504873986,411868.381159413,278295.6790682086
Mpumalanga,2019,34.45,41.75,1232.5255194110414,1879.9811572477581,2952.0366569456014,-0.14028762660472927,339419.542963102,7.704753456708097,433408.29685311974,275385.40794294677
Mpumalanga,2020,26.85,38.95,1166.6527901797544,1618.0199584687803,2996.778776744211,-5.335558565861898,321309.73752809846,7.839927213044149,436116.318582739,275411.62223474565
Mpumalanga,2021,36.475,36.625,1113.875331495383,1754.1566268460238,3039.789363819187,5.435838815781668,338775.93061730376,8.094723932313846,502426.730064037,304141.6943514634
Mpumalanga,2022,36.475,37.55,1158.5972964491914,1823.5714686064443,3085.1084693309786,0.751552777248321,341322.010532507,7.956413027734796,530420.7172564435,294599.3500749336
Mpumalanga,2023,36.825,37.95,1187.9832714966851,1879.6612510102277,3129.850678315163,0.4822616736719576,342968.07577311184,7.741001869161721,544786.709818758,288697.73169534805
Mpumalanga,2024,36.125,38.8,1232.4604454793362,1929.0986011428809,3173.0181259876836,0.3388132753226136,344130.09714394965,7.720526444731593,567647.806713092,279222.021612311
North West,2013,26.7,36.25,848.2648826757663,1156.8861132580446,2339.9985874555514,,274492.496254216,6.498389225663507,251398.6325077456,323592.9034199283
