province,date,year,quarter,quarter_label,projected_rate,projected_rate_upper,projected_rate_lower,is_projection,scenario
Free State,2028-01-01,2028,1,Q1 2028,38.41,41.72,35.09,True,Optimistic
Free State,2028-01-01,2028,1,Q1 2028,38.92,45.07,32.77,True,Pessimistic
KwaZulu-Natal,2026-04-01,2026,2,Q2 2026,33.53,38.19,28.88,True,Baseline
KwaZulu-Natal,2026-04-01,2026,2,Q2 2026,33.48,36.74,30.22,True,Optimistic
KwaZulu-Natal,2026-04-01,2026,2,Q2 2026,33.61,39.66,27.57,True,Pessimistic
KwaZulu-Natal,2026-07-01,2026,3,Q3 2026,33.8,38.47,29.14,True,Baseline
KwaZulu-Natal,2026-07-01,2026,3,Q3 2026,33.69,36.96,30.43,True,Optimistic
KwaZulu-Natal,2026-07-01,2026,3,Q3 2026,33.97,40.03,27.9,True,Pessimistic
KwaZulu-Natal,2026-10-01,2026,4,Q4 2026,34.07,38.75,29.39,True,Baseline
KwaZulu-Natal,2026-10-01,2026,4,Q4 2026,33.91,37.19,30.64,True,Optimistic
KwaZulu-Natal,2026-10-01,2026,4,Q4 2026,34.32,40.4,28.23,True,Pessimistic
KwaZulu-Natal,2027-01-01,2027,1,Q1 2027,34.34,39.04,29.65,True,Baseline
KwaZulu-Natal,2027-01-01,2027,1,Q1 2027,34.13,37.41,30.84,True,Optimistic
KwaZulu-Natal,2027-01-01,2027,1,Q1 2027,34.67,40.77,28.57,True,Pessimistic
KwaZulu-Natal,2027-04-01,2027,2,Q2 2027,34.62,39.32,29.91,True,Baseline
KwaZulu-Natal,2027-04-01,2027,2,Q2 2027,34.34,37.64,31.05,True,Optimistic
KwaZulu-Natal,2027-04-01,2027,2,Q2 2027,35.02,41.14,28.9,True,Pessimistic
KwaZulu-Natal,2027-07-01,2027,3,Q3 2027,34.89,39.61,30.16,True,Baseline
KwaZulu-Natal,2027-07-01,2027,3,Q3 2027,34.56,37.87,31.25,True,Optimistic
KwaZulu-Natal,2027-07-01,2027,3,Q3 2027,35.37,41.51,29.23,True,Pessimistic
KwaZulu-Natal,2027-10-01,2027,4,Q4 2027,35.16,39.9,30.42,True,Baseline
KwaZulu-Natal,2027-10-01,2027,4,Q4 2027,34.78,38.1,31.46,True,Optimistic
KwaZulu-Natal,2027-10-01,2027,4,Q4 2027,35.73,41.89,29.56,True,Pessimistic
KwaZulu-Natal,2028-01-01,2028,1,Q1 2028,35.43,40.18,30.67,True,Baseline
KwaZulu-Natal,2028-01-01,2028,1,Q1 2028,34.99,38.32,31.67,True,Optimistic
KwaZulu-Natal,2028-01-01,2028,1,Q1 2028,36.08,42.26,29.9,True,Pessimistic
North West,2026-04-01,2026,2,Q2 2026,40.32,46.66,33.99,True,Baseline
North West,2026-04-01,2026,2,Q2 2026,40.25,44.69,35.82,True,Optimistic
North West,2026-04-01,2026,2,Q2 2026,40.43,48.67,32.2,True,Pessimistic
North West,2026-07-01,2026,3,Q3 2026,40.69,47.04,34.33,True,Baseline
North West,2026-07-01,2026,3,Q3 2026,40.54,44.99,36.09,True,Optimistic
North West,2026-07-01,2026,3,Q3 2026,40.9,49.16,32.64,True,Pessimistic
North West,2026-10-01,2026,4,Q4 2026,41.05,47.42,34.68,True,Baseline
North West,2026-10-01,2026,4,Q4 2026,40.83,45.29,36.37,True,Optimistic
North West,2026-10-01,2026,4,Q4 2026,41.38,49.66,33.09,True,Pessimistic
North West,2027-01-01,2027,1,Q1 2027,41.41,47.81,35.02,True,Baseline
North West,2027-01-01,2027,1,Q1 2027,41.12,45.6,36.65,True,Optimistic
North West,2027-01-01,2027,1,Q1 2027,41.85,50.16,33.54,True,Pessimistic
North West,2027-04-01,2027,2,Q2 2027,41.78,48.19,35.36,True,Baseline
North West,2027-04-01,2027,2,Q2 2027,41.41,45.9,36.92,True,Optimistic
North West,2027-04-01,2027,2,Q2 2027,42.32,50.66,33.99,True,Pessimistic
North West,2027-07-01,2027,3,Q3 2027,42.14,48.57,35.71,True,Baseline
North West,2027-07-01,2027,3,Q3 2027,41.7,46.21,37.2,True,Optimistic
North West,2027-07-01,2027,3,Q3 2027,42.79,51.16,34.43,True,Pessimistic
North West,2027-10-01,2027,4,Q4 2027,42.5,48.96,36.05,True,Baseline
North West,2027-10-01,2027,4,Q4 2027,41.99,46.51,37.48,True,Optimistic
North West,2027-10-01,2027,4,Q4 2027,43.27,51.66,34.88,True,Pessimistic
North West,2028-01-01,2028,1,Q1 2028,42.87,49.34,36.39,True,Baseline
North West,2028-01-01,2028,1,Q1 2028,42.29,46.82,37.75,True,Optimistic
North West,2028-01-01,2028,1,Q1 2028,43.74,52.16,35.32,True,Pessimistic
Gauteng,2026-04-01,2026,2,Q2 2026,35.91,39.65,32.16,True,Baseline
Gauteng,2026-04-01,2026,2,Q2 2026,35.87,38.5,33.25,True,Optimistic
Gauteng,2026-04-01,2026,2,Q2 2026,35.96,40.83,31.09,True,Pessimistic
Gauteng,2026-07-01,2026,3,Q3 2026,36.08,39.84,32.33,True,Baseline
