province,year,constant_price_growth_pct,constant_price_rand,current_price_pct,current_price_rand
Limpopo,2015,1.9400249921129653,319807.998776819,7.234177108950407,319807.9643100224
Limpopo,2016,0.13338247861824915,320234.736545716,7.394007135330602,351921.542333982
Limpopo,2017,1.4232278515257324,324792.493375393,7.312062712849737,371320.43196550163
Limpopo,2018,1.110706519388427,328399.5,7.387273734074829,396193.5576879645
Limpopo,2019,0.056330512146307576,328584.556054735,7.442469954837972,418654.30810099014
Limpopo,2020,-6.431329309170164,307452.048968136,7.593381812618242,422401.99018343
Limpopo,2021,5.460824597035763,324241.247362627,7.902308611204082,490483.8149741871
Limpopo,2022,1.1339207127411655,327917.815798938,7.874776090491887,524978.3247290496
Limpopo,2023,0.7255929718475995,330297.234786607,7.702203727852264,542056.0229452647
Limpopo,2024,0.9030739328945936,333280.04283442197,7.761577296961318,570666.0498858497
Mpumalanga,2013,,321770.46845035686,7.578458242663799,293182.506089146
Mpumalanga,2014,1.9652498186687684,328094.0619981071,7.5120233332283295,310537.5897550776
Mpumalanga,2015,0.4371288317150057,329528.495738246,7.454054153152041,329528.2723486006
Mpumalanga,2016,0.6350665805513245,331620.979563913,7.562250091999597,359929.445569324
Mpumalanga,2017,1.295952695081759,335918.990586028,7.613038271803939,386604.54247586906
Mpumalanga,2018,1.184178177583739,339896.5,7.679540504873986,411868.381159413
Mpumalanga,2019,-0.14028762660472927,339419.542963102,7.704753456708097,433408.29685311974
Mpumalanga,2020,-5.335558565861898,321309.73752809846,7.839927213044149,436116.318582739
Mpumalanga,2021,5.435838815781668,338775.93061730376,8.094723932313846,502426.730064037
Mpumalanga,2022,0.751552777248321,341322.010532507,7.956413027734796,530420.7172564435
Mpumalanga,2023,0.4822616736719576,342968.07577311184,7.741001869161721,544786.709818758
Mpumalanga,2024,0.3388132753226136,344130.09714394965,7.720526444731593,567647.806713092
North West,2013,,274492.496254216,6.498389225663507,251398.6325077456
North West,2014,-2.2136272262840206,268416.0796075547,6.386521755577116,264010.571122428
North West,2015,4.084360859580705,279379.490903867,6.319665081557998,279379.2845289393
North West,2016,-2.4726431988877584,272471.1110826675,6.191821028480706,294703.443533268
North West,2017,1.4147370119567793,276325.86073804385,6.194554444693309,314571.2396852368
North West,2018,1.1099544340257728,279392.5,6.217656885777041,333464.77885289676
North West,2019,-0.16986286836457865,278918.106699959,6.243834481715596,351228.5868403826
North West,2020,-5.55315288112811,263429.60366655776,6.520202574266893,362703.2070363894
North West,2021,7.073461806731562,282063.5624925718,6.7965907093318565,421853.6511222458
North West,2022,0.7435393493145037,284160.81606978236,6.666067175175131,444398.7661287464
North West,2023,0.37234782796238264,285218.8826963384,6.3305463573082275,445523.2427966427
North West,2024,-0.12863657874504497,284851.986883703,6.253730408773732,459802.36914256064
Northern Cape,2013,,90905.32452685529,2.1479225478830184,83095.17520708515
Northern Cape,2014,2.438075510798865,93121.66498215678,2.1865933058770284,90391.01515807296
Northern Cape,2015,1.953884847467502,94941.1750839526,2.1476046851701414,94941.14840749027
Northern Cape,2016,-0.31304204732538476,94643.94934832343,2.1197548357703617,100890.999731524
Northern Cape,2017,1.928656992232014,96469.3064951544,2.096056240158269,106441.516801992
Northern Cape,2018,1.2007353161139989,97627.5,2.1058737204022058,112942.0177675642
Northern Cape,2019,-0.21103496041104952,97421.61906014217,2.121640634728556,119346.66815736801
Northern Cape,2020,-5.246862213534042,92310.04094186249,2.207171396429747,122779.64293986154
Northern Cape,2021,5.658556876801413,97533.87609909543,2.2743668406751447,141166.3577759409
Northern Cape,2022,1.2454631195747634,98748.62455500141,2.295783866241874,153050.29047046287
Northern Cape,2023,0.5713200279400477,99312.79522439945,2.235354446425265,157316.968482755
Northern Cape,2024,-0.050754446397183184,99262.38956498174,2.23940232326912,164650.92455183115
Western Cape,2013,,603096.7912276428,14.051505488886946,543600.7511877802
Western Cape,2014,1.7543754594602223,613677.3733297326,14.009034792993546,579115.566183241
Western Cape,2015,1.411236541390748,622337.8126684086,14.07751738173697,622337.8427965331
Western Cape,2016,1.1255717209233351,629342.671096417,13.984872261809443,665617.499949491
Western Cape,2017,0.8192625419872757,634498.6398614522,13.978051171833206,709831.886265632
Western Cape,2018,1.7160443132107295,645386.5,13.922074534488706,746667.3686090079
Western Cape,2019,0.35903695481924736,647704.0952242636,13.838099313145115,778421.6702966429
Western Cape,2020,-5.925421018653276,609324.9006271671,13.820360091139607,768793.4340011929
Western Cape,2021,4.537376990357878,636972.7271962232,13.723059272077455,851768.6154830952
Western Cape,2022,3.1083889485864935,656772.3170539006,13.895454126211382,926351.7012675023
Western Cape,2023,0.7638066138247357,661788.7874493282,14.100248865960962,992329.610184505
Western Cape,2024,0.7499296456895399,666751.7377582601,14.163908173164863,1041394.1933285082
