province,date,working_age_population,labour_force,employed,unemployed,outside_labour_force,participation_rate,absorption_rate,inactivity_rate,unemployment_rate,year,quarter,quarter_label,unemployment_rate_qoq,unemployment_rate_yoy
Gauteng,2008-10-01,8205.849094710999,5966.095996262219,4746.43553198972,1219.6604642724972,2239.7530984487926,72.7,57.8,27.29459282761487,20.4,2008,4,Q4 2008,-1.2000000000000028,
Gauteng,2009-01-01,8251.390018629181,5995.552065346948,4714.742611808615,1280.809453538333,2255.8379532821755,72.7,57.1,27.338884093319994,21.4,2009,1,Q1 2009,1.0,-1.2000000000000028
Gauteng,2009-04-01,8297.341256273834,6010.332066427676,4640.752577853816,1369.579488573867,2287.0091898461083,72.4,55.9,27.563156910235385,22.8,2009,2,Q2 2009,1.4000000000000021,1.4000000000000021
Gauteng,2009-07-01,8344.045842876476,5881.155057121638,4354.313857749689,1526.8411993719355,2462.8907857548306,70.5,52.2,29.51674561877121,26.0,2009,3,Q3 2009,3.1999999999999993,4.399999999999999
Gauteng,2009-10-01,8390.523265216214,5927.338531188807,4413.936494657594,1513.4020365311985,2463.1847340274303,70.6,52.6,29.35674756113318,25.5,2009,4,Q4 2009,-0.5,5.100000000000001
Gauteng,2010-01-01,8437.172763654773,6003.165494125071,4371.080838778267,1632.0846553468045,2434.0072695297276,71.2,51.8,28.84861241691159,27.2,2010,1,Q1 2010,1.6999999999999993,5.800000000000001
Gauteng,2010-04-01,8484.188231331707,6029.40771281772,4398.38956981958,1631.018142998135,2454.7805185139964,71.1,51.8,28.933593310060886,27.1,2010,2,Q2 2010,-0.09999999999999787,4.300000000000001
Gauteng,2010-07-01,8532.422452547282,5953.718725981982,4319.775929115477,1633.9427968664727,2578.703726565297,69.8,50.6,30.222410351899175,27.4,2010,3,Q3 2010,0.29999999999999716,1.3999999999999986
Gauteng,2010-10-01,8580.89489634428,6031.055433630749,4418.575271270691,1612.4801623600554,2549.8394627135044,70.3,51.5,29.715309341451256,26.7,2010,4,Q4 2010,-0.6999999999999993,1.1999999999999993
Gauteng,2011-01-01,8629.532837922501,6123.90553479221,4474.728020829569,1649.1775139626695,2505.6273031302903,71.0,51.9,29.03549184168341,26.9,2011,1,Q1 2011,0.1999999999999993,-0.3000000000000007
Gauteng,2011-04-01,8678.539011710305,6190.309703277773,4441.228502783115,1749.0812004946463,2488.2293084325547,71.3,51.2,28.671062088615397,28.3,2011,2,Q2 2011,1.4000000000000021,1.1999999999999993
Gauteng,2011-07-01,8728.22292360771,6181.193464538333,4453.314195002975,1727.8792695353466,2547.0294590693834,70.8,51.0,29.181535363616863,28.0,2011,3,Q3 2011,-0.3000000000000007,0.6000000000000014
Gauteng,2011-10-01,8777.620270843247,6157.5377964370655,4606.57591162559,1550.961884811462,2620.082474406146,70.2,52.5,29.84957646331531,25.2,2011,4,Q4 2011,-2.8000000000000007,-1.5
Gauteng,2012-01-01,8827.237134623154,6296.890759447745,4659.095723926155,1637.7950355216028,2530.346375175443,71.3,52.8,28.66521354966787,26.0,2012,1,Q1 2012,0.8000000000000007,-0.8999999999999986
Gauteng,2012-04-01,8877.28106891651,6224.454690130027,4637.282404975665,1587.1722851543707,2652.8263787865226,70.1,52.2,29.88332078476802,25.5,2012,2,Q2 2012,-0.5,-2.8000000000000007
Gauteng,2012-07-01,8928.936274844787,6284.081014509559,4728.694259016617,1555.3867554929477,2644.8552603351877,70.4,53.0,29.62116851235028,24.8,2012,3,Q3 2012,-0.6999999999999993,-3.1999999999999993
Gauteng,2012-10-01,8981.163528158106,6173.825811925837,4724.400634854169,1449.4251770716737,2807.3377162322467,68.7,52.6,31.25806258206219,23.5,2012,4,Q4 2012,-1.3000000000000007,-1.6999999999999993
Gauteng,2013-01-01,9033.620973471603,6326.96096339211,4732.776209077797,1594.1847543142956,2706.6600100795517,70.0,52.4,29.962071887086257,25.2,2013,1,Q1 2013,1.6999999999999993,-0.8000000000000007
Gauteng,2013-04-01,9086.528000024213,6324.773891429789,4749.6191082970745,1575.1547831327134,2761.754108594489,69.6,52.3,30.393942643285172,24.9,2013,2,Q2 2013,-0.3000000000000007,-0.6000000000000014
Gauteng,2013-07-01,9140.638668033593,6372.86868217934,4823.025809765224,1549.8428724140997,2767.769985854281,69.7,52.8,30.27983149069837,24.3,2013,3,Q3 2013,-0.5999999999999979,-0.5
Gauteng,2013-10-01,9194.812262770227,6451.606373429398,4822.778584961088,1628.8277884682886,2743.2058893408534,70.2,52.5,29.8342784055317,25.2,2013,4,Q4 2013,0.8999999999999986,1.6999999999999993
Gauteng,2014-01-01,9249.156434870316,6463.349026893664,4794.456417004225,1668.8926098893965,2785.807407976787,69.9,51.8,30.11958363547636,25.8,2014,1,Q1 2014,0.6000000000000014,0.6000000000000014
Gauteng,2014-04-01,9303.897583986207,6368.203653095554,4802.929851064709,1565.2738020308232,2935.693930890649,68.4,51.6,31.553377543018275,24.6,2014,2,Q2 2014,-1.1999999999999993,-0.29999999999999716
Gauteng,2014-07-01,9359.277817017379,6388.476233402982,4819.747011966983,1568.7292214360039,2970.801583614363,68.3,51.5,31.741782236777986,24.6,2014,3,Q3 2014,0.0,0.3000000000000007
Gauteng,2014-10-01,9414.142143086357,6473.442803682496,4880.5251791552755,1592.9176245272267,2940.699339403872,68.8,51.8,31.237039920457367,24.6,2014,4,Q4 2014,0.0,-0.5999999999999979
Gauteng,2015-01-01,9469.12985424266,6856.516656938832,4911.115378451516,1945.4012784873132,2612.613197303783,72.4,51.9,27.590847707432033,28.4,2015,1,Q1 2015,3.799999999999997,2.599999999999998
Gauteng,2015-04-01,9524.46956490818,6788.014842756721,4969.458720141074,1818.5561226156458,2736.4547221515395,71.3,52.2,28.730783415335274,26.8,2015,2,Q2 2015,-1.5999999999999979,2.1999999999999993
Gauteng,2015-07-01,9580.47324359759,7022.8178448019435,5010.844180544332,2011.973664257631,2557.6553987955467,73.3,52.3,26.696545502119346,28.6,2015,3,Q3 2015,1.8000000000000007,4.0
